record_id,asset_id,kind,version,status,error
fateman72,pdf,pdf,cited-work,failed,RuntimeError: https://web.archive.org/web/20051217213927id_/http://www.lcs.mit.edu/publications/pubs/pdf/MIT-LCS-TR-095.pdf: RuntimeError: Could not retrieve https://web.archive.org/web/20051217213927id_/http://www.lcs.mit.edu/publications/pubs/pdf/MIT-LCS-TR-095.pdf: HTTP Error 429: Too Many Requests
fateman72,pdf-csail-direct,pdf,mit-lcs-tr-095-csail,downloaded,
caviness76,pdf,pdf,cited-work,failed,RuntimeError: https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf: RuntimeError: Could not retrieve https://people.eecs.berkeley.edu/~fateman/papers/radcan.pdf: <urlopen error [WinError 10061] No connection could be made because the target machine actively refused it>
zippelthesis,pdf-from-landing,pdf,cited-work,downloaded,
zippel1977,nasa-pdf,pdf,cited-work,failed,ValueError: No explicit matching download link resolved; manual inspection is needed.
bfht,pdf,pdf,cited-work,downloaded,
landauMiller,pdf-journal-1985,pdf,journal-1985,downloaded,
landau92,pdf-author-upload-preprint,pdf,author-upload-preprint,failed,RuntimeError: https://www.researchgate.net/profile/Susan-Landau-2/publication/2629046_Simplification_of_Nested_Radicals/links/02bfe510fbd90dfb8f000000/Simplification-of-Nested-Radicals.pdf: RuntimeError: Could not retrieve https://www.researchgate.net/profile/Susan-Landau-2/publication/2629046_Simplification_of_Nested_Radicals/links/02bfe510fbd90dfb8f000000/Simplification-of-Nested-Radicals.pdf: HTTP Error 403: Forbidden
landauNote,pdf-umass-1990-120,pdf,umass-1990-120,downloaded,
landau94,pdf-umass-1991-076,pdf,umass-1991-076,downloaded,
landau98,pdf-author-pdf,pdf,author-pdf,downloaded,
horng99,pdf-from-landing,pdf,cited-work,failed,RuntimeError: Could not retrieve https://www.researchgate.net/publication/220577276_Solving_polynomials_by_radicals_with_roots_of_unity_in_minimum_depth: HTTP Error 403: Forbidden
horng99,optional-publisher-candidate,pdf,cited-work,downloaded,
bloemer91,optional-publisher-candidate,pdf,cited-work,failed,"RuntimeError: https://ieeexplore.ieee.org/iel2/379/4746/00185434.pdf: ValueError: Not a complete PDF: PDF header / EOF missing (possibly login, error, or truncated data)."
bloemer92,optional-publisher-candidate,pdf,cited-work,failed,"RuntimeError: https://ieeexplore.ieee.org/iel2/424/6693/00267807.pdf: ValueError: Not a complete PDF: PDF header / EOF missing (possibly login, error, or truncated data)."
bloemer93,pdf-thesis-1993,pdf,thesis-1993,downloaded,
bloemer00,pdf-from-landing,pdf,cited-work,failed,RuntimeError: Could not retrieve https://www.researchgate.net/publication/225210864_Denesting_by_Bounded_Degree_Radicals: HTTP Error 403: Forbidden
jeffrey,pdf-public-mirror,pdf,public-mirror,downloaded,
honsbeek99,pdf-repository,pdf,repository,failed,RuntimeError: https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf: RuntimeError: Could not retrieve https://repository.ubn.ru.nl/bitstream/handle/2066/18722/18722.pdf: HTTP Error 403: Forbidden
honsbeek05,pdf,pdf,cited-work,downloaded,
mordell,pdf-journal-1953,pdf,journal-1953,downloaded,
siegel,pdf-from-landing,pdf,cited-work,failed,ValueError: No explicit matching download link resolved; manual inspection is needed.
kneser,pdf-journal-1975,pdf,journal-1975,downloaded,
lll,pdf-journal-1982,pdf,journal-1982,downloaded,
kluners,pdf-journal-1998,pdf,journal-1998,downloaded,
lenstra06,pdf,pdf,cited-work,downloaded,
perucca,pdf,pdf,arxiv-2511.02498v1,downloaded,
perucca,tex-source,source,arxiv-2511.02498v1,downloaded,
ramanujan,archive-pdf,pdf,1927-scan,downloaded,
berndt98,pdf-journal-1998,pdf,journal-1998,downloaded,
shanks,pdf-journal-1974-part-a,pdf,journal-1974-part-a,downloaded,
shanks,pdf-journal-1974-part-b,pdf,journal-1974-part-b,downloaded,
spohn,pdf-journal-letter,pdf,journal-letter,downloaded,
bumby,pdf-journal-1987,pdf,journal-1987,downloaded,
osler,pdf-from-landing,pdf,cited-work,failed,RuntimeError: Could not retrieve https://www.researchgate.net/publication/282728308_Cardan_Polynomials_and_the_Reduction_of_Radicals: HTTP Error 403: Forbidden
oslercubic,pdf-university-mirror,pdf,university-mirror,downloaded,
witula,pdf-author-upload,pdf,author-upload,failed,RuntimeError: https://www.researchgate.net/profile/Roman-Witula-2/publication/241071508_Cardano%27s_formula_square_roots_Chebyshev_polynomials_and_radicals/links/5d385ae992851cd04682a056/Cardanos-formula-square-roots-Chebyshev-polynomials-and-radicals.pdf: RuntimeError: Could not retrieve https://www.researchgate.net/profile/Roman-Witula-2/publication/241071508_Cardano%27s_formula_square_roots_Chebyshev_polynomials_and_radicals/links/5d385ae992851cd04682a056/Cardanos-formula-square-roots-Chebyshev-polynomials-and-radicals.pdf: HTTP Error 403: Forbidden
barbero,pdf,pdf,jis-2013,downloaded,
barbero,tex-source-from-publisher,source,jis-2013,downloaded,
barbero,pdf-arxiv,pdf,arxiv-1401.1474v1,downloaded,
